D1y,Hour,Minute,v1r1(t-4),v1r2(t-4),v1r3(t-4),v1r4(t-4),v1r5(t-4),v1r1(t-3),v1r2(t-3),v1r3(t-3),v1r4(t-3),v1r5(t-3),v1r1(t-2),v1r2(t-2),v1r3(t-2),v1r4(t-2),v1r5(t-2),v1r1(t-1),v1r2(t-1),v1r3(t-1),v1r4(t-1),v1r5(t-1),v1r1(t),v1r2(t),v1r3(t),v1r4(t),v1r5(t),target
4,19,30,65,63,54,55,60,67,63,56,58,61,66,61,52,59,60,67,63,57,64,63,67,63,55,65,63,2
4,19,45,67,63,56,58,61,66,61,52,59,60,67,63,57,64,63,67,63,55,65,63,67,64,57,64,61,2
4,20,0,66,61,52,59,60,67,63,57,64,63,67,63,55,65,63,67,64,57,64,61,68,64,57,64,61,2
4,20,15,67,63,57,64,63,67,63,55,65,63,67,64,57,64,61,68,64,57,64,61,67,64,56,63,62,2
4,20,30,67,63,55,65,63,67,64,57,64,61,68,64,57,64,61,67,64,56,63,62,68,65,54,60,61,2
4,20,45,67,64,57,64,61,68,64,57,64,61,67,64,56,63,62,68,65,54,60,61,66,64,56,61,61,2
4,21,0,68,64,57,64,61,67,64,56,63,62,68,65,54,60,61,66,64,56,61,61,64,62,55,61,62,2
4,21,15,67,64,56,63,62,68,65,54,60,61,66,64,56,61,61,64,62,55,61,62,65,62,53,62,61,2
4,21,30,68,65,54,60,61,66,64,56,61,61,64,62,55,61,62,65,62,53,62,61,68,65,55,65,61,2
4,21,45,66,64,56,61,61,64,62,55,61,62,65,62,53,62,61,68,65,55,65,61,68,65,52,67,63,1
4,22,0,64,62,55,61,62,65,62,53,62,61,68,65,55,65,61,68,65,52,67,63,68,64,56,66,63,2
4,22,15,65,62,53,62,61,68,65,55,65,61,68,65,52,67,63,68,64,56,66,63,70,66,60,65,65,1
4,22,30,68,65,55,65,61,68,65,52,67,63,68,64,56,66,63,70,66,60,65,65,69,67,61,66,63,1
4,22,45,68,65,52,67,63,68,64,56,66,63,70,66,60,65,65,69,67,61,66,63,67,66,57,68,65,1
4,23,0,68,64,56,66,63,70,66,60,65,65,69,67,61,66,63,67,66,57,68,65,69,67,58,68,67,1
4,23,15,70,66,60,65,65,69,67,61,66,63,67,66,57,68,65,69,67,58,68,67,67,67,58,67,65,1
4,23,30,69,67,61,66,63,67,66,57,68,65,69,67,58,68,67,67,67,58,67,65,66,66,60,65,65,1
