D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
5,18,45,60,60,62,60,60,60,59,59,60,59,1
5,19,0,60,62,60,60,60,59,59,60,59,61,2
5,19,15,62,60,60,60,59,59,60,59,61,60,2
5,19,30,60,60,60,59,59,60,59,61,60,60,1
5,19,45,60,60,59,59,60,59,61,60,60,59,1
5,20,0,60,59,59,60,59,61,60,60,59,59,2
5,20,15,59,59,60,59,61,60,60,59,59,60,1
5,20,30,59,60,59,61,60,60,59,59,60,60,2
5,20,45,60,59,61,60,60,59,59,60,60,59,2
5,21,0,59,61,60,60,59,59,60,60,59,61,1
5,21,15,61,60,60,59,59,60,60,59,61,58,1
5,21,30,60,60,59,59,60,60,59,61,58,59,1
5,21,45,60,59,59,60,60,59,61,58,59,60,1
5,22,0,59,59,60,60,59,61,58,59,60,61,2
5,22,15,59,60,60,59,61,58,59,60,61,61,1
5,22,30,60,60,59,61,58,59,60,61,61,60,2
5,22,45,60,59,61,58,59,60,61,61,60,59,1
5,23,0,59,61,58,59,60,61,61,60,59,63,1
5,23,15,61,58,59,60,61,61,60,59,63,59,1
5,23,30,58,59,60,61,61,60,59,63,59,61,1
5,23,45,59,60,61,61,60,59,63,59,61,62,1
6,0,0,60,61,61,60,59,63,59,61,62,62,1
6,0,15,61,61,60,59,63,59,61,62,62,60,1
6,0,30,61,60,59,63,59,61,62,62,60,62,2
6,0,45,60,59,63,59,61,62,62,60,62,61,1
6,1,0,59,63,59,61,62,62,60,62,61,65,1
6,1,15,63,59,61,62,62,60,62,61,65,59,1
6,1,30,59,61,62,62,60,62,61,65,59,63,1
6,1,45,61,62,62,60,62,61,65,59,63,63,2
6,2,0,62,62,60,62,61,65,59,63,63,64,2
6,2,15,62,60,62,61,65,59,63,63,64,62,2
6,2,30,60,62,61,65,59,63,63,64,62,59,2
6,2,45,62,61,65,59,63,63,64,62,59,57,2
6,3,0,61,65,59,63,63,64,62,59,57,58,2
6,3,15,65,59,63,63,64,62,59,57,58,57,3
6,3,30,59,63,63,64,62,59,57,58,57,51,2
